"","doi","ps","reporting","p_value"
"318","10.1016/j.jasrep.2023.103866","p = 0.487)","exact",0.487
"319","10.1016/j.jasrep.2023.103866","p = 0.791)","exact",0.791
"320","10.1016/j.jasrep.2023.103866","p = 0.020)","exact",0.02
"321","10.1016/j.jasrep.2023.103866","p = 0.764)","exact",0.764
"322","10.1016/j.jasrep.2023.103866","p = 0.947)","exact",0.947
"323","10.1016/j.jasrep.2023.103866","p = 0.302)","exact",0.302
"324","10.1016/j.jasrep.2023.103866","p = 0.004,","exact",0.004
"325","10.1016/j.jasrep.2023.103866","p = 0.006)","exact",0.006
"326","10.1016/j.jasrep.2023.103866","p = 0.351)","exact",0.351
"327","10.1016/j.jasrep.2023.103866","p = 0.697)","exact",0.697
"328","10.1016/j.jasrep.2023.103866","p = 0.631)","exact",0.631
"329","10.1016/j.jasrep.2023.103866","p = 0.893)","exact",0.893
"330","10.1016/j.jasrep.2023.103866","p = 0.154)","exact",0.154
"331","10.1016/j.jasrep.2023.103866","p = 0.078)","exact",0.078
"332","10.1016/j.jasrep.2023.103866","p = 0.078)","exact",0.078
"333","10.1016/j.jasrep.2023.103866","p = 0.322)","exact",0.322
"334","10.1016/j.jasrep.2023.103866","p = 0.000,","exact",0
"335","10.1016/j.jasrep.2023.103866","p = 0.001)","exact",0.001
"336","10.1016/j.jasrep.2023.103866","p = 0.001)","exact",0.001
"337","10.1016/j.jasrep.2023.103866","p = 0.767)","exact",0.767
"338","10.1016/j.jasrep.2023.103866","p = 0.090)","exact",0.09
"339","10.1016/j.jasrep.2023.103866","p = 0.790)","exact",0.79
"340","10.1016/j.jasrep.2023.103866","p = 0.364)","exact",0.364
"341","10.1016/j.jasrep.2023.103866","p = 0.206)","exact",0.206
"342","10.1016/j.jasrep.2023.103866","p = 0.451)","exact",0.451
"343","10.1016/j.jasrep.2023.103866","p = 0.013)","exact",0.013
"344","10.1016/j.jasrep.2023.103866","p = 0.136,","exact",0.136
"345","10.1016/j.jasrep.2023.103877","p = trimet","exact",1e-05
"346","10.1016/j.jasrep.2023.103894","p = potlid","exact",NA
